user_idx,item_idx,rating,timestamp
0,0,5.0,1397865600
1,1,5.0,1287187200
2,2,5.0,1346544000
3,3,5.0,1375920000
4,4,5.0,1365379200
5,5,4.0,1309737600
6,6,1.0,1371081600
7,7,5.0,1391904000
8,7,5.0,1378425600
9,7,5.0,1377734400
10,7,5.0,1363219200
11,7,3.0,1404172800
12,8,4.0,1260403200
13,9,5.0,1093910400
14,10,5.0,1123113600
15,11,5.0,1277510400
16,11,5.0,1072742400
17,13,2.0,1397692800
18,13,2.0,1394928000
19,12,5.0,1184716800
20,12,5.0,1199750400
21,12,5.0,1316044800
22,12,5.0,1237507200
23,12,5.0,1189900800
24,12,5.0,1178236800
25,12,5.0,1190937600
26,12,5.0,1211846400
27,12,5.0,1250985600
28,12,2.0,1322870400
29,12,5.0,1207353600
30,12,5.0,1183680000
31,12,5.0,1190073600
32,12,5.0,1306454400
33,14,5.0,1184889600
34,15,1.0,1356220800
35,15,1.0,1346457600
36,15,4.0,1315785600
37,15,5.0,1274486400
38,15,5.0,1367712000
39,15,5.0,1198627200
40,15,5.0,1185494400
41,15,5.0,1383782400
42,15,3.0,1378684800
43,16,4.0,1068854400
43,17,3.0,1068854400
44,17,2.0,1295395200
45,17,2.0,1251504000
46,17,5.0,1404691200
47,17,5.0,1255910400
48,19,5.0,1278288000
49,18,5.0,1214697600
50,18,5.0,1148256000
51,18,5.0,1311984000
52,20,5.0,1316390400
53,20,5.0,1306713600
54,20,5.0,1116633600
55,20,1.0,1305676800
56,20,1.0,1399766400
57,21,5.0,1066089600
58,21,5.0,1397692800
59,21,5.0,1366502400
60,21,5.0,1116460800
61,21,5.0,1341705600
62,22,5.0,1393286400
63,23,1.0,1100044800
64,23,5.0,1114128000
65,23,5.0,1117584000
66,24,5.0,1129766400
67,24,5.0,1052611200
68,24,5.0,1107388800
69,25,4.0,1099699200
70,26,2.0,1093132800
71,26,5.0,1257465600
72,26,4.0,1257465600
73,26,5.0,1395273600
74,26,5.0,1317340800
75,26,5.0,1144368000
76,26,5.0,1384732800
77,26,2.0,1257465600
78,27,1.0,1398038400
79,27,5.0,1308182400
80,27,5.0,1274054400
81,27,5.0,1380153600
82,27,5.0,1243382400
83,27,5.0,1234396800
84,27,5.0,1371081600
85,27,5.0,1252886400
86,27,5.0,1328227200
87,27,5.0,1379462400
88,27,4.0,1395360000
89,27,5.0,1299801600
90,27,1.0,1334966400
91,27,5.0,1400976000
92,27,5.0,1344211200
93,27,5.0,1304899200
94,27,5.0,1354492800
95,27,5.0,1297468800
96,27,4.0,1283212800
97,27,5.0,1262995200
98,27,5.0,1354579200
99,27,5.0,1367366400
100,27,4.0,1264204800
101,27,5.0,1350345600
102,27,4.0,1242000000
103,27,5.0,1362700800
104,27,5.0,1404691200
105,27,5.0,1401062400
106,27,5.0,1371081600
107,27,5.0,1342656000
108,27,5.0,1387670400
109,27,4.0,1353974400
110,27,5.0,1372550400
111,27,2.0,1292544000
112,27,5.0,1203292800
113,27,5.0,1317772800
114,27,5.0,1242172800
115,27,5.0,1264982400
116,27,5.0,1348704000
117,27,5.0,1359504000
118,27,5.0,1357257600
119,27,5.0,1378944000
120,27,5.0,1254614400
121,27,5.0,1371686400
122,27,5.0,1282003200
123,27,5.0,1228867200
124,27,5.0,1313625600
125,27,5.0,1382832000
126,27,5.0,1275004800
127,27,1.0,1393113600
128,27,5.0,1381536000
129,27,5.0,1219363200
130,27,5.0,1193270400
131,27,5.0,1286668800
132,27,5.0,1280966400
133,27,1.0,1394755200
134,27,5.0,1292371200
135,27,5.0,1353974400
136,27,5.0,1347494400
137,27,4.0,1385769600
138,27,5.0,1379203200
139,27,5.0,1377820800
140,27,5.0,1227916800
141,27,1.0,1404864000
142,27,5.0,1360800000
143,27,5.0,1248652800
144,27,4.0,1187913600
145,28,3.0,1043971200
146,29,1.0,1283040000
147,30,1.0,1109203200
148,30,5.0,1256515200
149,31,5.0,1324512000
150,31,5.0,1265932800
151,31,5.0,1241308800
152,31,5.0,1242000000
153,31,5.0,1293667200
154,31,5.0,1175472000
155,32,1.0,1113436800
156,32,1.0,1041897600
157,33,5.0,1298937600
158,34,5.0,1079222400
159,35,4.0,1092528000
160,36,5.0,1328486400
161,37,5.0,1314403200
162,37,3.0,1322524800
163,38,5.0,1167782400
164,38,5.0,1323129600
165,38,1.0,1218153600
166,38,3.0,1235088000
167,38,3.0,1376006400
168,38,5.0,1229472000
169,38,2.0,1114819200
170,38,5.0,1289865600
171,38,1.0,1216512000
172,38,5.0,1395014400
173,38,4.0,1315699200
174,38,3.0,1383955200
175,38,5.0,1179360000
176,38,5.0,1127520000
177,38,5.0,1358121600
178,38,3.0,1267228800
179,38,5.0,1388534400
180,38,4.0,1239926400
181,38,1.0,1263859200
182,38,3.0,1374105600
183,38,1.0,1199664000
184,38,5.0,1179446400
185,38,5.0,1128211200
186,38,5.0,1332115200
187,38,5.0,1233878400
188,38,5.0,1182816000
189,38,1.0,1269907200
190,38,2.0,1388016000
191,38,1.0,1331596800
192,38,5.0,1373414400
193,38,3.0,1271635200
194,38,5.0,1121299200
195,38,5.0,1169078400
196,38,5.0,1401840000
197,38,3.0,1404172800
198,38,3.0,1140998400
199,38,1.0,1378339200
200,38,3.0,1168560000
201,38,5.0,1367712000
202,38,2.0,1285027200
203,38,5.0,1162857600
204,38,5.0,1316563200
205,38,5.0,1403654400
206,38,5.0,1194912000
207,38,4.0,1366675200
208,38,3.0,1126569600
209,38,1.0,1076976000
210,38,1.0,1372032000
211,38,5.0,1105833600
212,38,4.0,1383696000
213,38,3.0,1156377600
214,38,5.0,1395619200
215,38,5.0,1148860800
216,38,2.0,1092441600
217,38,1.0,1150156800
218,38,4.0,1402704000
219,38,5.0,1393804800
220,38,1.0,1208131200
221,38,4.0,1368489600
222,38,5.0,1398384000
223,38,5.0,1182816000
224,38,5.0,1324598400
225,38,5.0,1186876800
226,38,5.0,1394582400
227,38,3.0,1360454400
228,38,3.0,1332115200
229,38,2.0,1145404800
230,38,1.0,1339200000
231,38,2.0,1371168000
232,38,5.0,1401148800
233,38,1.0,1391904000
234,38,5.0,1156896000
235,38,5.0,1128038400
236,38,3.0,1329609600
237,38,5.0,1250380800
238,38,1.0,1207785600
239,38,2.0,1391904000
240,38,3.0,1217289600
241,38,4.0,1376956800
242,38,3.0,1358121600
243,38,1.0,1106524800
244,38,5.0,1396396800
245,38,5.0,1140739200
246,38,5.0,1091923200
247,38,1.0,1256169600
248,38,4.0,1317600000
249,38,3.0,1378857600
250,38,4.0,1065744000
251,38,5.0,1232064000
252,38,4.0,1118966400
253,38,5.0,1323388800
254,38,5.0,1204070400
255,38,5.0,1108944000
256,38,5.0,1295827200
257,38,4.0,1351555200
258,38,4.0,1365120000
259,38,4.0,1156464000
260,38,5.0,1185148800
261,38,5.0,1144800000
262,38,4.0,1394928000
263,38,2.0,1394928000
264,38,5.0,1333584000
265,38,5.0,1149033600
266,38,4.0,1309996800
267,38,5.0,1124496000
268,38,5.0,1107993600
269,38,4.0,1246924800
270,38,1.0,1205107200
271,38,5.0,1184025600
272,38,2.0,1259452800
273,38,1.0,1373155200
274,38,2.0,1149552000
275,38,5.0,1231632000
276,38,5.0,1367798400
277,38,5.0,1370822400
278,38,1.0,1398124800
279,38,4.0,1175299200
280,38,5.0,1163203200
281,38,3.0,1359936000
282,38,5.0,1127692800
283,38,5.0,1137974400
284,38,5.0,1207353600
285,38,2.0,1336176000
286,38,4.0,1176163200
287,38,5.0,1403740800
288,38,3.0,1400976000
289,38,4.0,1335398400
290,38,5.0,1227052800
291,38,5.0,1397001600
292,38,1.0,1305590400
293,38,5.0,1089331200
294,38,5.0,1194393600
295,38,4.0,1354579200
296,38,5.0,1366675200
297,38,5.0,1137283200
298,38,5.0,1189209600
299,38,4.0,1140566400
300,38,1.0,1401753600
301,38,5.0,1360627200
302,38,2.0,1402531200
303,38,5.0,1122163200
304,38,5.0,1396310400
305,38,5.0,1118188800
306,38,1.0,1401408000
307,38,4.0,1151366400
308,38,1.0,1104624000
309,38,5.0,1109376000
310,38,5.0,1403222400
311,38,5.0,1254096000
312,38,1.0,1287705600
313,38,5.0,1088467200
314,38,1.0,1356307200
315,38,5.0,1370995200
316,38,4.0,1141084800
317,38,4.0,1129161600
318,38,3.0,1401840000
319,38,2.0,1349654400
320,38,2.0,1186272000
321,38,5.0,1345161600
322,38,1.0,1227052800
323,38,2.0,1199404800
324,38,5.0,1097452800
325,38,5.0,1321920000
326,38,4.0,1122854400
327,38,3.0,1193529600
328,38,2.0,1373241600
329,38,5.0,1395360000
330,38,5.0,1352073600
331,38,4.0,1374710400
332,38,5.0,1170460800
333,38,3.0,1274140800
334,38,4.0,1190937600
335,38,5.0,1403136000
336,38,4.0,1229472000
337,38,5.0,1331596800
338,38,3.0,1203033600
339,38,1.0,1300147200
340,38,3.0,1401667200
341,38,5.0,1391472000
342,38,5.0,1319932800
343,38,5.0,1108512000
344,38,5.0,1327881600
345,38,4.0,1092873600
346,38,5.0,1319414400
347,38,5.0,1360022400
348,38,3.0,1260576000
349,38,5.0,1352937600
350,38,2.0,1171238400
